,franquicia,movie_count,ganancia_total,ganancia_promedio
80,Children of the Corn Collection,3,97458648.0,32486216.0
81,Chili Palmer Collection,1,115101622.0,115101622.0
82,Cinderella Collection,1,154864401.0,154864401.0
83,Cinderella Story Collection,2,17303288.0,8651644.0
84,City Slickers Collection,1,754935.0,754935.0
85,Clash of the Titans Collection,1,2550508.0,2550508.0
86,Clerks Collection,1,3151130.0,3151130.0
87,Cocaine Cowboys,1,82169884.0,82169884.0
88,Cocoon Collection,2,183345438.0,91672719.0
89,Cold Prey Collection,1,35022.0,35022.0
90,Conan the Barbarian Collection,1,59612888.0,59612888.0
91,Corto Maltese,2,366343571.0,183171785.5
92,Creature From The Black Lagoon (Universal Series),1,7000000.0,7000000.0
93,Critters Collection,2,335368368.0,167684184.0
94,Crocodile Dundee Collection,1,41382841.0,41382841.0
95,Cruel Intentions Collection,2,177012725.0,88506362.5
96,Daddy Day Camp Collection,2,421331624.0,210665812.0
97,Darkman Collection,1,7532911.0,7532911.0
98,Darko Collection,1,50315140.0,50315140.0
99,Deadly Prey Collection,1,101543.0,101543.0
100,Death Race Collection,2,19306758.0,9653379.0
101,Death Race Original Collection,1,60.0,60.0
102,Death Wish Collection,3,83945171.0,27981723.666666668
103,Deathstalker Collection,2,132214009.0,66107004.5
104,Despicable Me Collection,1,1066471.0,1066471.0
105,Detective Dee Collection,1,103590271.0,103590271.0
106,Die Fritz Lang Indien-Edition,1,5093707.0,5093707.0
107,Die Hard Collection,2,385030537.0,192515268.5
108,Dirty Dancing Collection,2,9614280.0,4807140.0
109,Dirty Harry Collection,1,27107960.0,27107960.0
110,District 13 Collection,1,39041505.0,39041505.0
111,Dorm Daze Collection,1,122233971.0,122233971.0
112,Dr. Dolittle Collection,1,189198313.0,189198313.0
113,Dr. Phibes Collection,1,15200000.0,15200000.0
114,Dracula (Hammer Series),1,2945242.0,2945242.0
115,Dracula (Universal Series),2,95150624.0,47575312.0
116,Dracula 2000 Collection,1,880674609.0,880674609.0
117,Dragon Ball Collection,1,22044277.0,22044277.0
118,Dragon Ball Z (Movie) Collection,3,20418344.0,6806114.666666667
119,Dragon Ball Z OVA Collection,1,198802074.0,198802074.0
120,DragonHeart Collection,1,115267375.0,115267375.0
121,Dreileben,1,226904017.0,226904017.0
122,Drunken Master Collection,2,97183208.0,48591604.0
123,Dumb and Dumber Collection,1,247275374.0,247275374.0
124,Dungeons & Dragons Collection,1,7060876.0,7060876.0
125,East is East Collection,1,37036004.0,37036004.0
126,Easy Money Collection,1,63782078.0,63782078.0
127,Elizabeth Collection,1,116672912.0,116672912.0
128,Emmanuelle Collection,2,488161933.0,244080966.5
129,Enter the Ninja Collection,1,216166.0,216166.0
130,Ernest Collection,4,38718800.0,9679700.0
131,Escape From ... Collection,1,90000098.0,90000098.0
132,Evangelion Collection,1,39481.0,39481.0
133,Evil Dead Collection,2,99123808.0,49561904.0
134,Fantasia Collection,1,300135367.0,300135367.0
135,Fantastic Four Collection,1,16809014.0,16809014.0
136,Fatal Fury Collection,1,1400000.0,1400000.0
137,Father of Four Collection,1,4.0,4.0
138,Father of the Bride Collection,2,77164515.0,38582257.5
139,Final Fantasy Collection,2,41185461.0,20592730.5
140,Finding Nemo Collection,1,20867919.0,20867919.0
141,Fletch Collection,2,51867000.0,25933500.0
142,Flubber Collection,2,135563118.0,67781559.0
143,Frankenstein (Hammer Series),1,62134225.0,62134225.0
144,Frankenstein (Universal Series),2,13012189.0,6506094.5
145,Free Willy Collection,2,198030640.0,99015320.0
146,Freeway Collection,1,572000000.0,572000000.0
147,French Connection Collection,1,37402877.0,37402877.0
148,French Fried Vacation,1,3396726.0,3396726.0
149,Friday Collection,2,118899834.0,59449917.0
150,Friday the 13th Collection,8,249591191.0,31198898.875
151,Fright Night (Reboot) Collection,1,392000694.0,392000694.0
152,Fright Night Collection,1,14363400.0,14363400.0
153,From Dusk Till Dawn Collection,2,25953422.0,12976711.0
154,Futurama Collection,1,37707444.0,37707444.0
155,G.I. Joe (Live-Action) Collection,1,73830340.0,73830340.0
156,Ghost Rider Collection,1,3338228.0,3338228.0
157,Ghost in the Shell: Arise,1,8000000.0,8000000.0
158,Ghostbusters Collection,1,25059640.0,25059640.0
159,Ginger Snaps Collection,1,6700000.0,6700000.0
160,Goal! Collection,1,92076.0,92076.0
161,Godzilla (Heisei) Collection,2,20677075.0,10338537.5
162,Godzilla (Showa) Collection,5,16213123.0,3242624.6
163,Gor Collection,2,31827788.0,15913894.0
164,Grease Collection,1,44726644.0,44726644.0
165,Green Street Hooligans Collection,1,1179676.0,1179676.0
166,Grindhouse Collection,1,289047763.0,289047763.0
167,Grumpy Old Men Collection,1,123922370.0,123922370.0
168,Guinea Pig Collection,1,603900354.0,603900354.0
169,Halloween (Rob Zombie Series) Collection,1,15071514.0,15071514.0
170,Halloween Collection,6,176103819.0,29350636.5
171,Halloweentown Collection,1,30418560.0,30418560.0
172,Happy Feet Collection,1,55247881.0,55247881.0
173,Hard Target Collection,1,74189677.0,74189677.0
174,Harold & Kumar Collection,1,105173115.0,105173115.0
175,Harry Potter Collection,6,166208020.0,27701336.666666668
176,Hate Story Collection,1,13624522.0,13624522.0
177,Heart of Gold Collection,1,260562.0,260562.0
178,Heavy Metal Collection,1,120072577.0,120072577.0
179,Hellboy Collection,2,12498282.0,6249141.0
180,Hellraiser Collection,2,18419858.0,9209929.0
181,Herbie Collection,2,58625550.0,29312775.0
182,Highlander Collection,2,82658563.0,41329281.5
183,Home Alone Collection,2,491184675.0,245592337.5
184,"Honey, I Shrunk the Kids Collection",1,39514713.0,39514713.0
185,Hoodwinked! Collection,1,80578934.0,80578934.0
186,Hot Shots! Collection,1,133752825.0,133752825.0
187,House Collection,1,37803872.0,37803872.0
188,House of 1000 Corpses Collection,1,209151.0,209151.0
189,House on Haunted Hill Collection,1,141195658.0,141195658.0
190,How to Train Your Dragon Collection,1,64572262.0,64572262.0
191,I Am Curious Collection,1,15614000.0,15614000.0
192,I Know What You Did Last Summer Collection,1,82150642.0,82150642.0
