,production_company,movie_count,ganancia_total
585,Dark Maze Studios,1,11000000.0
586,Darkwoods Productions,1,7537453.0
587,Das Kleine Fernsehspiel (ZDF),1,166775.0
588,Dauntless Productions,1,251775.0
589,David Foster Productions,6,133232484.0
590,David V. Picker Productions,1,146402.0
591,Davis Entertainment,3,164258599.0
592,Davis Entertainment Classics,1,22921898.0
593,Davis-Films,1,12281551.0
594,Daystar Productions,1,364937.0
595,De Fina-Cappa,1,60527873.0
596,De Laurentiis Entertainment Group (DEG),9,174037835.0
597,De Line Pictures,1,484572835.0
598,DeMille Pictures Corporation,1,28575078.0
599,Dea Film,1,3704408.0
600,Dead Gentlemen Productions,1,230069.0
601,Dead Wait Productons,1,5730596.0
602,Dean Hargrove Productions,1,19010585.0
603,Decla Film Gesellschaft Holz & Co.,1,10188.0
604,Decla-Bioscop AG,1,8895428.0
605,Defender Production,1,10597734.0
606,Degeto Film,1,101203.0
607,Del Duca Films,1,2341309.0
608,Delphi II Productions,1,30688860.0
609,Delphi V Productions,1,42000000.0
610,Delux Productions,1,546388105.0
611,Demarest Films,1,542307423.0
612,Departures Film,1,8574339.0
613,Depth of Field,1,34808403.0
614,Desperate Pictures,1,263920180.0
615,Destination Films,3,84946962.0
616,Det Danske Filminstitut,6,278586166.0
617,Detour Film Production,1,5535405.0
618,Deutsche Film (DEFA),1,767311.0
619,Deutsche Film-Gemeinschaft,1,34562222.0
620,Deviant Films,1,5446000.0
621,Devotion Films,1,6584159.0
622,Dharma Productions,1,845188.0
623,Di Bonaventura Pictures,1,5900000.0
624,DiNovi Pictures,3,11650318.0
625,Diaphana Films,1,43545364.0
626,Dimension Films,16,441775581.0
627,Dimension Pictures,1,2438031.0
628,Dino De Laurentiis Company,2,213797577.0
629,Dino de Laurentiis Cinematografica,4,11221783.0
630,Dischord,1,4491986.0
631,Discovery Channel Productions,1,8000000.0
632,Discovery Docs,1,91974818.0
633,Disney Channel,5,204526240.0
634,DisneyToon Studios,2,62967413.0
635,District,1,1246141.0
636,Documento Films,1,3800000.0
637,Docurama,2,280667208.0
638,Dog Eat Dog Films,2,165487536.0
639,Dog Pond Productions,1,35743308.0
640,Dolby,1,203427584.0
641,Don Carmody Productions,1,166770.0
642,Don Hartman Productions,1,5935269.0
643,Donau Filmproduktion,1,11417362.0
644,Donner/Shuler-Donner Productions,1,63000000.0
645,Dor Film Produktionsgesellschaft GmbH,2,768057.0
646,Dorian Films,1,985117.0
647,Dos Corazones,1,73244881.0
648,Double Feature Films,2,167885560.0
649,Double Helix Films,1,40272135.0
650,Douek Productions,1,35456.0
651,Dovzhenko Film Studios,1,168167691.0
652,Dowling Productions,1,72179579.0
653,Drafthouse Films,1,142817992.0
654,Dragon Pictures,2,37444082.0
655,Dream Company,1,27305571.0
656,DreamWorks,1,215394738.0
657,DreamWorks Animation,6,84217149.0
658,DreamWorks SKG,27,2836919826.0
659,Dry County Films,2,150486979.0
660,Dual Power Productions,1,170000.0
661,Dudley Pictures Corporation,1,44287131.0
662,Dummy Productions LLC,1,742898.0
663,Dune Entertainment,4,127817120.0
664,Duplass Brothers Productions,5,29017677.0
665,E-Wolf,1,3515061.0
666,EBF Productions,1,39171130.0
667,EFTI,1,1829917.0
668,EGBA Entertainment,1,175302354.0
669,EM Media,2,41929352.0
670,EMI Films,2,86416905.0
671,EMI Films Ltd.,1,69701637.0
672,EMI Television,1,17062499.0
673,ESPN Films,1,147332697.0
674,ESX Productions,1,17000000.0
675,ETA films,1,23083334.0
676,Eagle Pictures,1,378827494.0
677,Eagle Rock Entertainment,1,254000.0
678,Ealing Studios,6,537111823.0
679,Eastern Counties Newspapers Ltd.,1,29450919.0
680,Ecce Films,1,7800000.0
681,Echo Lake Productions,1,442824138.0
682,Eddie Saeta,2,92412898.0
683,Edison Manufacturing Company,3,16698751.0
684,Edward Small Productions,1,36160375.0
685,Edward small Production,1,48668907.0
686,Eesti Joonisfilm,2,178994172.0
687,Egg Pictures,1,3786801.0
688,Ego Film Arts,1,22238696.0
689,Eikon Film,1,19322135.0
690,Ekran,2,61535690.0
691,El Deseo,4,142189061.0
692,El Mar Pictures,1,8.0
693,Electrascope,1,91196419.0
694,Electric Entertainment,1,8059140.0
695,Element Films,1,17500000.0
696,Elephant Films,1,1359910.0
697,Elevation Filmworks,1,20710513.0
698,Elevenmedia,1,32846.0
699,Elixir Films,1,7306.0
700,Elkins Entertainment,1,25804707.0
701,Ella Communications,1,39598448.0
702,Eloseppo,1,15608545.0
703,Elton Productions,1,186167139.0
704,Elías Querejeta Producciones Cinematográficas S.L.,1,40442437.0
705,Embassy International Pictures,1,30857814.0
706,Embassy Pictures Corporation,3,5503270.0
707,Emergent Films Ltd.,1,18612.0
708,Emmepi Cinematografica,1,38000000.0
709,Emperor Motion Pictures,1,3184472.0
710,Empire Pictures,3,29752429.0
711,Empire Ward,1,5681622.0
712,Endgame Entertainment,2,632590955.0
713,Endless Entertainment,1,34592118.0
714,Enlight Pictures,1,87416021.0
715,Enlightenment Productions,1,165888.0
716,Enso Entertainment,1,19829957.0
717,Ensueño Films,1,1675706.0
718,Entertainment Partners Ltd.,1,4300000.0
719,Entre Chien et Loup,2,25394501.0
720,Eon Productions,6,225811763.0
721,Epic Pictures Group,1,30553394.0
722,Epic Productions,3,492432272.0
723,Epidemic Films,1,97838349.0
