,production_company,movie_count,ganancia_total
566,Crystal Clear Pictures,1,16928137.0
567,Crystal Sky Pictures,1,92601050.0
568,Crystal Sky Worldwide,1,3109904.0
569,Cube Vision,1,11125849.0
570,Cut Glass Productions LLC,1,658000.0
571,D.R. Comunicazioni di massa,1,2451545.0
572,D.W. Griffith Productions,1,1103757.0
573,DC Comics,7,329720284.0
574,DCG Plus,1,1359497.0
575,DJ Films,1,19450000.0
576,DNA Films,3,276475792.0
577,DViant Films,1,27391084.0
578,Da Huang Pictures,1,66486080.0
579,Dacia Films,1,14715067.0
580,Daiei Motion Picture Company,1,149295601.0
581,Daiei Studios,5,93955964.0
582,Daly-Harris Productions,1,117487473.0
583,Dan Films,1,74901339.0
584,Dan Wigutow Productions,1,9104716.0
585,Danger Filmworks,1,33616692.0
586,Dangerous Films,1,114000000.0
587,Dania Film,2,30426941.0
588,Daniel L. Paulson Productions,1,126069509.0
589,Danmarks Radio (DR),2,13636241.0
590,Dansk Biograf Compagni,1,5837674.0
591,Danziger Productions Ltd.,1,35007180.0
592,Dark Castle Entertainment,1,141195658.0
593,Dark Horse Entertainment,1,5774854.0
594,Dark Sky Films,1,3758328.0
595,Darkwoods Productions,1,7537453.0
596,David Foster Productions,6,133232484.0
597,David V. Picker Productions,1,146402.0
598,Davis Entertainment,2,162758599.0
599,Davis Entertainment Classics,1,22921898.0
600,Davis-Films,1,12281551.0
601,Daystar Productions,1,364937.0
602,De Angelis Group,1,206172544.0
603,De Fina-Cappa,1,60527873.0
604,De Laurentiis Entertainment Group (DEG),9,174037835.0
605,De Line Pictures,1,484572835.0
606,DeMille Pictures Corporation,1,28575078.0
607,Decla Film Gesellschaft Holz & Co.,1,10188.0
608,Decla-Bioscop AG,1,8895428.0
609,Defender Production,1,10597734.0
610,Del Duca Films,1,2341309.0
611,Delphi II Productions,1,30688860.0
612,Delphi V Productions,1,42000000.0
613,Delux Productions,1,546388105.0
614,Depth of Field,1,34808403.0
615,Desperate Pictures,1,263920180.0
616,Destination Films,3,84946962.0
617,Det Danske Filminstitut,5,262627154.0
618,Detour Film Production,1,5535405.0
619,Deutsche Film (DEFA),3,890225248.0
620,Deutsche Film-Gemeinschaft,1,34562222.0
621,Devotion Films,1,6584159.0
622,Dharamsala,1,1300000.0
623,DiNovi Pictures,3,11650318.0
624,Diagonal Pictures,1,1178196.0
625,Diaphana Films,1,43545364.0
626,Digital Frontier,2,2347926.0
627,Dimension Extreme,1,16656125.0
628,Dimension Films,16,441775581.0
629,Dimension Pictures,1,2438031.0
630,Dingsheng Cultural Industry Investment,1,104810.0
631,Dino De Laurentiis Company,2,213797577.0
632,Dino de Laurentiis Cinematografica,3,11221551.0
633,Dischord,1,4491986.0
634,Discovery Channel Productions,1,8000000.0
635,Discovery Docs,1,91974818.0
636,DisneyToon Studios,3,79408851.0
637,Distant Horizons,3,348536556.0
638,District,1,1246141.0
639,Docurama,2,118395830.0
640,Dog Pond Productions,1,35743308.0
641,Don Carmody Productions,1,166770.0
642,Don Hartman Productions,1,5935269.0
643,Donner/Shuler-Donner Productions,1,63000000.0
644,Dor Film Produktionsgesellschaft GmbH,3,4868057.0
645,Dorian Films,1,985117.0
646,Dos Corazones,1,73244881.0
647,Double Feature Films,2,154944862.0
648,Double R Films,1,17782178.0
649,Double Windsor Films,1,350006.0
650,Douek Productions,1,35456.0
651,Dovzhenko Film Studios,2,173028713.0
652,Dowling Productions,1,72179579.0
653,Drafthouse Films,1,142817992.0
654,Dragon Pictures,2,37444082.0
655,Dream Company,1,26000000.0
656,Dream Entertainment,1,17000000.0
657,DreamWorks,1,215394738.0
658,DreamWorks Animation,8,69215796.0
659,DreamWorks SKG,29,2830783859.0
660,Drexel Productions,1,1028570889.0
661,Dribbling Pictures,1,95000.0
662,Dry County Films,2,150486979.0
663,Dschoint Ventschr Filmproduktion AG,1,60700.0
664,Duckling A/S,1,3639345.0
665,Dudley Pictures Corporation,1,44287131.0
666,Dummy Productions LLC,1,742898.0
667,Dune Entertainment,4,127817120.0
668,Dutch Oven,1,1300000.0
669,E-Wolf,1,3515061.0
670,E3W Productions,1,3376375.0
671,EFTI,1,1829917.0
672,EM Media,2,41929352.0
673,EMI Films,2,86416905.0
674,EMI Films Ltd.,1,69701637.0
675,EOS Entertainment,1,11122090.0
676,ESPN Films,1,147332697.0
677,ESPN films,1,187145.0
678,ESX Productions,1,37915971.0
679,Eagle Rock Film & TV Productions,1,30400.0
680,Ealing Studios,7,426920462.0
681,Earthlight / White Castle Productions,1,46652768.0
682,Eastern Counties Newspapers Ltd.,1,29450919.0
683,Echelon Studios,1,643557.0
684,Echo Lake Productions,1,442824138.0
685,Eddie Saeta,2,92412898.0
686,Edison Manufacturing Company,2,614249950.0
687,Edith Film Oy,1,10743767.0
688,Edko Films,1,7002261.0
689,Edmund Grainger Productions,1,25312387.0
690,Edward Small Productions,1,36160375.0
691,Edward small Production,1,48668907.0
692,Egg Pictures,1,3786801.0
693,Ego Film Arts,1,22238696.0
694,Egoli Tossell Film,1,3214116.0
695,Egoli Tossell Film AG,1,307166834.0
696,Eikon Film,1,19322135.0
697,Ekran,1,3300000.0
698,El Caiman,1,7200000.0
699,El Deseo,5,240299783.0
700,El Mar Pictures,1,8.0
701,Electrascope,1,91196419.0
702,Electric Entertainment,1,8059140.0
703,Element Films,1,17500000.0
704,Elevation Filmworks,1,20710513.0
705,Elevenmedia,1,318000141.0
706,Elixir Films,1,7306.0
707,Elkins Entertainment,1,25804707.0
708,Elsboy Entertainment,1,809342332.0
709,Elton Productions,1,186167139.0
710,Elías Querejeta Producciones Cinematográficas S.L.,1,40442437.0
711,Embassy International Pictures,1,30857814.0
712,Embassy Pictures Corporation,4,95719859.0
713,Emerald Productions Inc.,1,4212494.0
714,Emergent Films Ltd.,1,18612.0
715,Emmepi Cinematografica,1,38000000.0
716,Emperor Motion Pictures,1,40836.0
717,Empire Pictures,3,29752429.0
718,Enderby Entertainment,1,4635300.0
